cdr_id,customer_id,call_type,origin_number,destination_number,cell_tower_id,call_start_ts,call_end_ts,duration_seconds,data_volume_mb,roaming_flag,region
df5bbb8b-64a3-4fdb-b499-0444c7ebee28,CUST0000086,DATA,2109129443141,0878343779824,TWR00108,2026-08-28 08:45:09,2026-08-28 08:45:09,0,219.184,N,EAST
49c849dd-a2ec-4157-860c-5898d1b0d206,CUST0000062,SMS,2116823137998,8100962426578,TWR00023,2026-08-28 13:41:22,2026-08-28 13:41:22,0,0,Y,EAST
4a3ecaf5-34bf-4344-9f16-fa6be6950696,CUST0000239,DATA,3558774526348,3725442253511,TWR00028,2026-08-28 11:46:27,2026-08-28 11:46:27,0,308.87,N,SOUTH
97f1d5c0-cbf3-4203-b02e-5ed5805715a7,CUST0000196,SMS,8828050345538,8720476766608,TWR00057,2026-08-28 23:00:12,2026-08-28 23:00:12,0,0,N,SOUTH
b84e0ec1-2b5e-4c05-92f9-bcb7c04bed82,CUST0000003,SMS,8874587120753,3685931526210,TWR00048,2026-08-28 10:06:58,2026-08-28 10:06:58,0,0,N,NORTH
091e000f-4c37-43d2-b690-85cf829c0095,CUST0000140,VOICE,4144301061445,9964574433199,TWR00006,2026-08-28 08:41:30,2026-08-28 08:55:10,820,0,N,EAST
da0fc979-621a-44c9-9684-509790111c96,CUST0000141,DATA,1153334972969,0100343449975,TWR00111,2026-08-28 18:52:01,2026-08-28 18:52:01,0,359.297,N,WEST
427531d9-06e4-47a3-8710-50c8af924ade,CUST0000252,VOICE,8618881786021,9927943763827,TWR00070,2026-08-28 23:55:41,2026-08-29 00:21:23,1542,0,N,NORTH
276dda7c-963e-4b12-8da9-cce9bb59b111,CUST0000190,VOICE,9033122239548,7047314836874,TWR00023,2026-08-28 22:09:45,2026-08-28 22:34:57,1512,0,N,SOUTH
eefabea0-fe94-4bb1-bf8b-6ddba150cf8a,CUST0000043,SMS,7740703666560,7622821282193,TWR00082,2026-08-28 03:03:28,2026-08-28 03:03:28,0,0,N,EAST
813c195f-17e8-4431-af97-368970b8dd22,CUST0000050,DATA,8278472643933,4596920666048,TWR00084,2026-08-28 08:54:12,2026-08-28 08:54:12,0,307.388,Y,EAST
